"DATE", "UVINDEX"
20240619,4.425174434
20240620,4.141097823
20240621,4.165372444
20240622,4.308274977
20240623,4.451024999
20240624,4.546445865
20240625,4.452194248
20240626,4.405424297
20240627,4.382268088
20240628,4.264301056
20240629,4.146181513
20240630,3.933403658
20240701,4.028672013
20240702,4.147909968
20240703,4.148418337
20240704,4.19661172
20240705,4.244347572
20240706,4.007803465
20240707,4.103275167
20240708,4.317273109
20240709,4.365263145
20240710,4.271062364
20240711,4.366534067
20240712,4.414320755
20240713,4.29640456
20240714,4.249583773
20240715,4.297522972
20240716,4.487754661
20240717,4.773000521
20240718,5.129240115
20240719,5.153463899
20240720,4.561239404
20240721,4.727806515
20240722,4.846942796
20240723,5.060788226
20240724,4.990353698
20240725,4.635181678
20240726,4.351155904
20240727,4.470343022
20240728,5.016204263
20240729,5.135493054
20240730,5.254629335
20240731,5.37371478
20240801,5.279463162
20240802,5.493461103
20240803,5.660129888
20240804,5.897792408
20240805,5.684912878
20240806,5.970057064
20240807,5.923134603
20240808,5.615342577
20240809,5.521192634
20240810,5.403073091
20240811,5.87788976
20240812,5.736207313
20240813,5.594524866
20240814,5.405462425
20240815,5.324875352
20240816,5.542607766
20240817,5.700018788
20240818,6.273211689
20240819,5.948067816
20240820,6.394163746
20240821,6.133650605
20240822,6.560360051
20240823,6.299846909
20240824,6.347381242
20240825,6.655607275
20240826,6.324013484
20240827,6.324154452
20240828,6.8456549
20240829,6.845795867
20240830,6.583154112
20240831,6.191215862
20240901,6.06427353
20240902,7.083399183
20240903,6.954303461
20240904,6.965224191
20240905,7.329451166
20240906,7.247750518
20240907,7.049709595
20240908,6.787051607
20240909,7.892328219
20240910,8.011126887
20240911,8.067297844
20240912,7.440568373
20240913,7.985750979
20240914,8.365057662
20240915,8.696971834
20240916,8.815614155
20240917,8.365527554
20240918,7.986531
20240919,8.034089255
20240920,8.74513924
20240921,8.962874217
20240922,9.240930583
20240923,9.029965051
20240924,8.734998532
20240925,8.403400469
20240926,8.519878294
20240927,8.698841152
20240928,9.31511466
20240929,9.102005136
20240930,8.800565631
20241001,8.817963619
20241002,9.434227729
20241003,9.552861507
20241004,9.458233686
20241005,9.671664446
20241006,9.605033253
20241007,9.484566466
